"Date,""Game"",""Earnings"",""Players"",""Tournaments"""
"2016-01-01,""SMITE"",1175000,90,2"
"2016-01-01,""Dota 2"",684021.02,196,14"
"2016-01-01,""Counter-Strike: Global Offensive"",678724.84,620,66"
"2016-01-01,""Hearthstone"",302580.64,93,9"
"2016-01-01,""Heroes of the Storm"",202029.09,118,14"
"2016-01-01,""StarCraft II"",113870.12,113,54"
"2016-01-01,""Mortal Kombat X"",112310,8,3"
"2016-01-01,""Halo 5: Guardians"",85502.63,66,15"
"2016-01-01,""Vainglory"",70160,36,1"
"2016-01-01,""Super Smash Bros. Melee"",67610.39,153,61"
"2016-01-01,""Gears of War: Ultimate Edition"",60000,16,1"
"2016-01-01,""League of Legends"",50025.02,40,5"
"2016-01-01,""Super Smash Bros. for Wii U"",43883.52,142,36"
"2016-01-01,""Heroes of Newerth"",35853.1,43,3"
"2016-01-01,""StarCraft: Brood War"",31725.82,3,1"
"2016-01-01,""Killer Instinct (2013)"",30830,33,3"
"2016-01-01,""Grey Goo"",30400,16,2"
"2016-01-01,""WarCraft III"",26152.61,20,9"
"2016-01-01,""Call of Duty: Black Ops III"",7516.92,36,9"
"2016-01-01,""FIFA 16"",5456.26,17,2"
"2016-01-01,""Age of Empires"",5148,23,4"
"2016-01-01,""Metal Gear Online"",4000,24,4"
"2016-01-01,""Super Smash Bros."",3460,14,3"
"2016-01-01,""Guilty Gear Xrd -SIGN-"",2425,16,4"
"2016-01-01,""Rocket League"",2362.19,32,15"
"2016-01-01,""Ultra Street Fighter IV"",2180,15,5"
"2016-01-01,""Chess.com"",2000.01,8,2"
"2016-01-01,""Ultimate Marvel vs. Capcom 3"",2000,6,3"
"2016-01-01,""CrossFire"",1086.78,15,1"
"2016-01-01,""Tekken Tag Tournament 2"",900,6,2"
"2016-01-01,""Project M"",894,15,5"
"2016-01-01,""Project Cars"",838.5,7,15"
"2016-01-01,""Tekken 7"",800,3,1"
"2016-01-01,""BlazBlue: Chronophantasma Extend"",790,6,2"
"2016-01-01,""Splatoon"",620,0,1"
"2016-01-01,""NHL '94"",550.16,5,2"
"2016-01-01,""Battlefield 4"",546.05,5,1"
"2016-01-01,""Injustice: Gods Among Us"",500,3,1"
"2016-01-01,""Persona 4 Arena Ultimax"",490,3,1"
"2016-01-01,""Skullgirls Encore"",470,3,1"
"2016-01-01,""Super Smash Bros. Brawl"",446,9,3"
"2016-01-01,""Guilty Gear XX Accent Core Plus R"",410,3,1"
"2016-01-01,""Under Night In-Birth EXE: Late"",360,3,1"
"2016-01-01,""Age of Empires II"",320,9,2"
"2016-01-01,""Dead or Alive 5: Last Round"",260,3,1"
"2016-01-01,""King of Fighters XIII"",250,3,1"
"2016-01-01,""Divekick"",180,3,1"
"2016-01-01,""Tatsunoko vs. Capcom: Ultimate All-Stars"",170,3,1"
"2016-01-01,""Quake Live"",158.48,2,4"
"2016-01-01,""Soul Calibur V"",140,3,1"
"2016-01-01,""Brawlhalla"",138.08,5,3"
"2016-01-01,""Reflex"",32.74,1,1"
"2016-02-01,""Counter-Strike: Global Offensive"",598551.3,639,76"
"2016-02-01,""Dota 2"",259451.93,203,19"
"2016-02-01,""League of Legends"",239015.61,174,9"
"2016-02-01,""Call of Duty: Black Ops III"",181566,176,9"
"2016-02-01,""Halo 5: Guardians"",145000,80,4"
"2016-02-01,""StarCraft II"",143380.08,138,55"
"2016-02-01,""Hearthstone"",136660.22,81,16"
"2016-02-01,""Heroes of the Storm"",130800,91,7"
"2016-02-01,""Guild Wars 2"",1e+05,20,1"
"2016-02-01,""KartRider"",67322,12,1"
"2016-02-01,""Super Smash Bros. Melee"",31891.36,174,63"
"2016-02-01,""Super Smash Bros. for Wii U"",26490.02,141,33"
"2016-02-01,""Heroes of Newerth"",15904.77,24,3"
"2016-02-01,""FIFA 16"",8312.2,14,4"
"2016-02-01,""Point Blank"",6155.58,15,1"
"2016-02-01,""Project M"",4825.25,45,9"
"2016-02-01,""Chess.com"",4000,20,4"
"2016-02-01,""Metal Gear Online"",4000,23,4"
"2016-02-01,""Rainbow Six Siege"",3564.91,5,4"
"2016-02-01,""Age of Empires II"",3535,16,3"
"2016-02-01,""Overwatch"",3247.45,61,11"
"2016-02-01,""Rocket League"",3173.96,36,13"
"2016-02-01,""Guilty Gear Xrd -SIGN-"",2690,3,2"
"2016-02-01,""Street Fighter V"",2605,15,4"
"2016-02-01,""BlazBlue: Chronophantasma Extend"",2460,3,1"
"2016-02-01,""StarCraft: Brood War"",2138.8,7,2"
"2016-02-01,""osu!"",1900,17,1"
"2016-02-01,""WarCraft III"",1692.21,7,4"
"2016-02-01,""Under Night In-Birth EXE: Late"",1270,3,1"
"2016-02-01,""Brawlhalla"",1022.27,13,4"
"2016-02-01,""Age of Empires III"",1000,4,1"
"2016-02-01,""Project Cars"",673,7,12"
"2016-02-01,""Age of Mythology"",218.54,3,1"
"2016-02-01,""Ultimate Marvel vs. Capcom 3"",200,5,2"
"2016-02-01,""Super Smash Bros. Brawl"",181.65,6,2"
"2016-02-01,""Ultra Street Fighter IV"",160,3,1"
"2016-02-01,""Quake Live"",118.86,3,3"
"2016-02-01,""Mortal Kombat X"",80,6,2"
"2016-02-01,""Super Smash Bros."",56.79,6,2"
"2016-03-01,""Dota 2"",3242298.94,171,13"
"2016-03-01,""Halo 5: Guardians"",2504265.8,75,2"
"2016-03-01,""Counter-Strike: Global Offensive"",574615.59,667,67"
"2016-03-01,""Call of Duty: Black Ops III"",432254.16,145,7"
"2016-03-01,""Heroes of the Storm"",376301.21,176,11"
"2016-03-01,""Hearthstone"",308347.01,64,10"
"2016-03-01,""League of Legends"",299620.13,395,23"
"2016-03-01,""StarCraft II"",265250.36,148,65"
"2016-03-01,""World of Tanks"",82000,14,1"
"2016-03-01,""Street Fighter V"",61917.15,33,13"
"2016-03-01,""Super Smash Bros. Melee"",61002.65,193,61"
"2016-03-01,""FIFA 16"",35097.65,9,3"
"2016-03-01,""Super Smash Bros. for Wii U"",34554.05,112,27"
"2016-03-01,""Vainglory"",30000,21,1"
"2016-03-01,""Rocket League"",11994.05,57,18"
"2016-03-01,""Old School Runescape"",10000,1,1"
"2016-03-01,""Overwatch"",9140.12,62,13"
"2016-03-01,""Project M"",6885.7,28,5"
"2016-03-01,""TrackMania 2: Stadium"",4004.84,10,3"
"2016-03-01,""Ultra Street Fighter IV"",3020,8,3"
"2016-03-01,""Team Fortress 2"",3015.34,18,1"
"2016-03-01,""Chess.com"",3000,14,3"
"2016-03-01,""Ultimate Marvel vs. Capcom 3"",2850,13,7"
"2016-03-01,""Battlefield 4"",2637,15,1"
"2016-03-01,""Mortal Kombat X"",2565,13,6"
"2016-03-01,""WarCraft III"",2089.51,22,12"
"2016-03-01,""Heroes of Newerth"",2058.27,30,2"
